country,city_actual,price,city,stars,hotel_id,distance,accommodation_type
Austria,Vienna,81,Vienna,4,21897,1.7,Hotel
Austria,Vienna,85,Vienna,4,21901,1.4,Hotel
Austria,Vienna,83,Vienna,3,21902,1.7,Hotel
Austria,Vienna,82,Vienna,4,21903,1.2,Hotel
Austria,Vienna,103,Vienna,4,21906,.89999998,Hotel
Austria,Vienna,150,Vienna,4,21907,1,Hotel
Austria,Vienna,60,Vienna,4,21912,1.1,Hotel
Austria,Vienna,128,Vienna,4,21913,.80000001,Hotel
Austria,Vienna,85,Vienna,4,21917,1.7,Hotel
Austria,Vienna,77,Vienna,3,21918,.89999998,Hotel
Austria,Vienna,78,Vienna,3,21919,.80000001,Hotel
Austria,Vienna,78,Vienna,3,21920,.89999998,Hotel
Austria,Vienna,77,Vienna,3,21924,4.1999998,Hotel
Austria,Vienna,77,Vienna,3,21925,3.9000001,Hotel
Austria,Vienna,95,Vienna,4,21926,3.5999999,Hotel
Austria,Vienna,208,Vienna,4,21930,2.9000001,Hotel
Austria,Vienna,87,Vienna,3,21933,3.4000001,Hotel
Austria,Vienna,54,Vienna,3,21935,2,Hotel
Austria,Vienna,99,Vienna,3.5,21940,1.7,Hotel
Austria,Vienna,75,Vienna,3.5,21941,1.7,Hotel
Austria,Vienna,76,Vienna,3,21943,2.0999999,Hotel
Austria,Vienna,91,Vienna,4,21946,1.9,Hotel
Austria,Vienna,71,Vienna,4,21959,1.7,Hotel
Austria,Vienna,113,Vienna,3,21965,.2,Hotel
Austria,Vienna,156,Vienna,3,21968,.30000001,Hotel
Austria,Vienna,133,Vienna,4,21970,.30000001,Hotel
Austria,Vienna,123,Vienna,4,21971,.5,Hotel
Austria,Vienna,219,Vienna,4,21972,.30000001,Hotel
Austria,Vienna,152,Vienna,4,21973,.30000001,Hotel
Austria,Vienna,115,Vienna,4,21975,.1,Hotel
Austria,Vienna,138,Vienna,4,21977,.2,Hotel
Austria,Vienna,146,Vienna,4,21980,.1,Hotel
Austria,Vienna,98,Vienna,3,21984,.5,Hotel
Austria,Vienna,121,Vienna,3.5,21985,.30000001,Hotel
Austria,Vienna,149,Vienna,4,21986,.2,Hotel
Austria,Vienna,120,Vienna,3,21987,.30000001,Hotel
Austria,Vienna,157,Vienna,3,21988,.40000001,Hotel
Austria,Vienna,112,Vienna,4,21995,.2,Hotel
Austria,Vienna,138,Vienna,4,21996,.30000001,Hotel
Austria,Vienna,158,Vienna,3,22009,.30000001,Hotel
Austria,Vienna,218,Vienna,4,22011,.2,Hotel
Austria,Vienna,218,Vienna,4,22012,.1,Hotel
Austria,Vienna,135,Vienna,3,22013,.30000001,Hotel
Austria,Vienna,179,Vienna,4,22016,.5,Hotel
Austria,Vienna,157,Vienna,4,22018,.69999999,Hotel
Austria,Vienna,146,Vienna,4,22019,.30000001,Hotel
Austria,Vienna,157,Vienna,4,22021,.1,Hotel
Austria,Vienna,108,Vienna,3,22023,.30000001,Hotel
Austria,Vienna,127,Vienna,4,22026,.80000001,Hotel
Austria,Vienna,163,Vienna,4,22028,.40000001,Hotel
Austria,Vienna,231,Vienna,4,22031,.1,Hotel
Austria,Vienna,116,Vienna,4,22032,.40000001,Hotel
Austria,Vienna,166,Vienna,4,22037,.60000002,Hotel
Austria,Vienna,169,Vienna,4,22042,.30000001,Hotel
Austria,Vienna,242,Vienna,4,22050,0,Hotel
Austria,Vienna,223,Vienna,4,22051,.5,Hotel
Austria,Vienna,149,Vienna,4,22052,.30000001,Hotel
Austria,Vienna,114,Vienna,4,22054,.5,Hotel
Austria,Vienna,139,Vienna,4,22061,.2,Hotel
Austria,Vienna,79,Vienna,3,22064,1.4,Hotel
Austria,Vienna,110,Vienna,3,22071,.89999998,Hotel
Austria,Vienna,88,Vienna,3,22072,.89999998,Hotel
Austria,Vienna,59,Vienna,3,22075,1.6,Hotel
Austria,Vienna,119,Vienna,4,22076,.89999998,Hotel
Austria,Vienna,152,Vienna,4,22077,.89999998,Hotel
Austria,Vienna,102,Vienna,4,22078,1,Hotel
Austria,Vienna,54,Vienna,3,22080,1.1,Hotel
Austria,Vienna,94,Vienna,3,22084,1,Hotel
Austria,Vienna,115,Vienna,4,22088,.89999998,Hotel
Austria,Vienna,68,Vienna,3,22090,.89999998,Hotel
Austria,Vienna,153,Vienna,4,22093,.2,Hotel
Austria,Vienna,169,Vienna,4,22095,.30000001,Hotel
Austria,Vienna,182,Vienna,4,22097,.5,Hotel
Austria,Vienna,142,Vienna,4,22101,.1,Hotel
Austria,Vienna,110,Vienna,4,22104,.60000002,Hotel
Austria,Vienna,82,Vienna,4,22117,1.4,Hotel
Austria,Vienna,82,Vienna,4,22118,1.7,Hotel
